price,quantity,seller_inflow,buyer_outflow
1.0,3.75,3.75,3.76
1.0,3.73,3.73,3.75
1.0,3.72,3.72,3.73
1.0,3.71,3.71,3.72
1.0,3.69,3.69,3.71
1.0,3.68,3.68,3.69
1.0,3.67,3.67,3.68
1.0,3.66,3.66,3.67
1.0,3.64,3.64,3.66
1.0,3.63,3.63,3.64
1.0,3.62,3.62,3.63
1.0,3.6,3.6,3.62
1.0,3.59,3.59,3.6
1.0,3.58,3.58,3.59
1.0,3.57,3.57,3.58
1.0,3.55,3.55,3.57
1.0,3.54,3.54,3.55
1.0,3.53,3.53,3.54
1.0,3.52,3.52,3.53
1.0,3.5,3.5,3.52
1.0,3.49,3.49,3.5
1.0,3.48,3.48,3.49
1.0,3.47,3.47,3.48
1.0,3.46,3.46,3.47
1.0,3.44,3.44,3.46
1.0,3.43,3.43,3.44
1.0,3.42,3.42,3.43
1.0,3.41,3.41,3.42
1.0,3.4,3.4,3.41
1.0,3.38,3.38,3.4
1.0,3.5,3.5,3.38
1.0,3.51,3.51,3.5
1.0,3.52,3.52,3.51
1.0,3.52,3.52,3.52
1.0,3.53,3.53,3.52
1.0,3.54,3.54,3.53
1.0,3.55,3.55,3.54
1.0,3.56,3.56,3.55
1.0,3.56,3.56,3.56
1.0,3.57,3.57,3.56
1.0,3.58,3.58,3.57
1.0,3.59,3.59,3.58
1.0,3.6,3.6,3.59
1.0,3.61,3.61,3.6
1.0,3.61,3.61,3.61
1.0,3.62,3.62,3.61
1.0,3.63,3.63,3.62
1.0,3.64,3.64,3.63
1.0,3.65,3.65,3.64
1.0,3.65,3.65,3.65
1.0,3.66,3.66,3.65
1.0,3.67,3.67,3.66
1.0,3.68,3.68,3.67
1.0,3.69,3.69,3.68
1.0,3.7,3.7,3.69
1.0,3.7,3.7,3.7
1.0,3.71,3.71,3.7
1.0,3.72,3.72,3.71
1.0,3.73,3.73,3.72
1.0,3.74,3.74,3.73
1.0,3.75,3.75,3.74
1.0,3.75,3.75,3.75
1.0,3.76,3.76,3.75
1.0,3.77,3.77,3.76
1.0,3.78,3.78,3.77
1.0,3.79,3.79,3.78
1.0,3.8,3.8,3.79
1.0,3.8,3.8,3.8
1.0,3.81,3.81,3.8
1.0,3.82,3.82,3.81
1.0,3.83,3.83,3.82
1.0,3.84,3.84,3.83
1.0,3.85,3.85,3.84
1.0,3.86,3.86,3.85
1.0,3.86,3.86,3.86
1.0,3.87,3.87,3.86
1.0,3.88,3.88,3.87
1.0,3.89,3.89,3.88
1.0,3.9,3.9,3.89
1.0,3.91,3.91,3.9
1.0,3.92,3.92,3.91
1.0,3.92,3.92,3.92
1.0,3.93,3.93,3.92
1.0,3.94,3.94,3.93
1.0,3.95,3.95,3.94
1.0,3.96,3.96,3.95
1.0,3.97,3.97,3.96
1.0,3.98,3.98,3.97
1.0,3.99,3.99,3.98
1.0,3.99,3.99,3.99
1.0,4.0,4.0,3.99
1.0,4.01,4.01,4.0
1.0,4.02,4.02,4.01
1.0,4.03,4.03,4.02
1.0,4.04,4.04,4.03
1.0,4.05,4.05,4.04
1.0,4.06,4.06,4.05
1.0,3.59,3.59,4.06
1.0,3.52,3.52,3.59
1.0,3.51,3.51,3.52
1.0,3.46,3.46,3.51
1.0,3.4,3.4,3.46
1.0,3.35,3.35,3.4
1.0,3.3,3.3,3.35
1.0,3.25,3.25,3.3
1.0,3.21,3.21,3.25
1.0,3.16,3.16,3.21
1.0,3.11,3.11,3.16
1.0,3.07,3.07,3.11
1.0,3.02,3.02,3.07
1.0,2.98,2.98,3.02
1.0,3.19,3.19,2.98
1.0,3.18,3.18,3.19
1.0,3.17,3.17,3.18
1.0,3.16,3.16,3.17
1.0,3.02,3.02,3.16
